*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=hexbotling_v0_4
*Date=18:53:06
*CreatedBy=Fritzing 0.9.4.2019-12-01.CD-498-0-a1ffcea
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
106;;;35.1536;-10.3844;0;Bottom;Copper Fill37
107;;;34.2646;-7.311;0;Bottom;Copper Fill152
108;;;22.9616;-46.6556;0;Bottom;Copper Fill71
109;;;14.0208;-28.5962;0;Bottom;Copper Fill117
110;;;28.6766;-48.2558;0;Bottom;Copper Fill64
111;;;27.984;-35.5618;0;Bottom;Via146
112;;THT;41.9639;-19.0632;-90;Bottom;dummy2
113;;;59.2622;-9.36263;0;Bottom;TXT1
114;;;41.9638;-52.7182;0;Bottom;Via114
115;12k;THT;47.6789;-45.7332;180;Bottom;R11
116;;;7.6597;-7.63413;0;Bottom;Via145
117;;;15.494;-5.0504;0;Bottom;Copper Fill151
118;;;4.6709;-38.0555;-90;Bottom;TXT1
119;;;31.8188;-26.672;0;Bottom;Via31
120;;;7.9248;-41.1692;0;Bottom;Copper Fill82
121;;;20.4216;-57.5268;0;Bottom;Copper Fill48
122;;;51.1048;-24.4052;0;Bottom;Copper Fill22
123;;;33.2994;-52.015;0;Bottom;Copper Fill52
124;;;39.4184;-31.7788;0;Bottom;Via38
125;;;40.9689;-15.5061;-90;Bottom;TXT1
126;;;58.1406;-34.2858;0;Bottom;Copper Fill16
127;;;54.1782;-46.1222;0;Bottom;Copper Fill72
128;;;7.366;-39.4674;0;Bottom;Copper Fill3
129;;;64.7446;-39.315;0;Bottom;Copper Fill89
130;;;43.9674;-53.6152;0;Bottom;Copper Fill5
131;;;35.7515;-16.194;-90;Bottom;TXT1
132;;;62.0506;-48.6791;0;Bottom;TXT1
133;;;49.6062;-20.5952;0;Bottom;Copper Fill32
134;;SO;58.5755;-40.0182;90;Top;3208-1
135;;;40.6146;-39.2134;0;Bottom;Copper Fill14
136;;;35.602;-43.8401;0;Bottom;Via6
137;;;43.0286;-6.38045;-90;Bottom;TXT1
138;;;4.68557;-4.34775;0;Bottom;TXT1
139;;;64.8462;-13.1784;0;Bottom;Copper Fill143
140;;;14.0208;-43.8362;0;Bottom;Copper Fill76
141;;;45.72;-13.2292;0;Bottom;Copper Fill142
142;;;42.164;-54.047;0;Bottom;Copper Fill53
143;;;24.8158;-57.5014;0;Bottom;Copper Fill49
144;;;38.7858;-52.3706;0;Bottom;Copper Fill57
145;;THT;22.9139;-52.0832;90;Bottom;0i
146;;;11.7856;-2.7898;0;Bottom;Copper Fill42
147;;;63.6524;-37.5624;0;Bottom;Copper Fill94
148;;;64.1888;-43.1933;0;Bottom;Via123
149;12k;THT;47.0439;-38.1132;180;Bottom;R14
150;;;4.26394;-1.61373;0;Bottom;TXT1
151;;;20.9804;-29.4344;0;Bottom;Copper Fill116
152;;;7.5184;-6.3712;0;Bottom;Copper Fill150
153;;;14.0208;-32.4062;0;Bottom;Copper Fill108
154;;;30.569;-6.64249;-90;Bottom;TXT1
155;;THT;65.4589;-51.4482;0;Bottom;bat
156;;;22.7926;-17.4;0;Bottom;TXT2
157;;;59.7438;-43.1933;0;Bottom;Via91
158;;;38.1538;-36.8433;0;Bottom;Via39
159;;;3.2512;-50.1862;0;Bottom;Copper Fill58
160;;;51.6636;-12.6196;0;Bottom;Copper Fill36
161;;;36.8808;-31.7712;0;Bottom;Copper Fill15
162;;;58.8772;-10.0034;0;Bottom;Copper Fill147
163;;THT;5.7689;-20.3332;-90;Bottom;J2
164;;;1.8288;-54.0978;0;Bottom;Copper Fill51
165;;;34.2392;-43.8362;0;Bottom;Copper Fill79
166;;;14.0208;-47.6462;0;Bottom;Copper Fill66
167;;;33.9852;-8.4286;0;Bottom;Copper Fill33
168;;;38.7858;-52.3706;0;Bottom;Copper Fill7
169;;;22.0332;-5.93677;-90;Bottom;TXT1
170;;;24.8189;-56.5282;0;Bottom;LiPo Battery 1100 mAh1
171;;;5.842;-2.7898;0;Bottom;Copper Fill41
172;;;9.3726;-1.5706;0;Bottom;Copper Fill157
173;;;33.3427;-6.774;-90;Bottom;TXT1
174;4.7µF;100 mil [THT, tantalum];38.7889;-23.5082;-180;Bottom;C6
175;;;33.0739;-35.5732;0;Bottom;Via35
176;;;58.1152;-21.4588;0;Bottom;Copper Fill130
177;;;38.7858;-24.4814;0;Bottom;Copper Fill23
178;;;54.5084;-46.2746;0;Bottom;Copper Fill11
179;;;56.5688;-27.9533;0;Bottom;Via127
180;;;54.0288;-30.4933;0;Bottom;Via119
181;;;15.2938;-18.4283;0;Bottom;Via142
182;22k;THT;50.8539;-57.7982;-1.27222e-14;Bottom;R19
183;4.7µF;100 mil [THT, tantalum];45.1389;-53.3532;180;Bottom;C3
184;;;41.8846;-13.8896;0;Bottom;Copper Fill139
185;;;11.7602;-9.7748;0;Bottom;Copper Fill34
186;;;7.9248;-44.9792;0;Bottom;Copper Fill70
187;;;63.7794;-1.596;0;Bottom;Copper Fill45
188;;;35.0012;-47.6462;0;Bottom;Copper Fill68
189;;;53.6173;-7.27139;-90;Bottom;TXT1
190;;3 mm [THT];8.32513;-2.55304;90;Bottom;LED2
191;;;17.1704;-2.7898;0;Bottom;Copper Fill43
192;;;59.7947;-7.90318;0;Bottom;TXT1
193;;;50.7696;-7.15174;-90;Bottom;TXT1
194;;THT;22.9139;-27.9532;90;Bottom;6i
195;;;27.94;-45.0808;0;Bottom;Copper Fill75
196;;;28.067;-28.901;0;Bottom;Copper Fill119
197;0;THT;14.0239;-40.0182;0;Bottom;R4
198;;;46.7106;-19.1728;0;Bottom;Copper Fill140
199;;;44.4884;-11.4433;0;Bottom;Via164
200;;;8.8646;-21.2048;0;Bottom;Copper Fill128
201;;;32.4389;-50.1782;0;Bottom;Via153
202;;;40.4114;-31.695;0;Bottom;Copper Fill105
203;;;39.4208;-17.1408;0;Bottom;Copper Fill135
204;;;3.2512;-26.0562;0;Bottom;Copper Fill124
205;;;14.0382;-21.601;0;Bottom;Via139
206;;;62.5008;-27.7378;0;Bottom;TXT1
207;;;7.9248;-48.8146;0;Bottom;Copper Fill59
208;;;34.3439;-29.2232;0;Bottom;Via36
209;;;3.2512;-46.3762;0;Bottom;Copper Fill69
210;;;59.7374;-5.71711;0;Bottom;Via162
211;;;64.77;-33.3968;0;Bottom;Copper Fill107
212;;;59.563;-32.5078;0;Bottom;Copper Fill110
213;;;26.5203;-20.7553;0;Bottom;TXT2
214;4.7µF;100 mil [THT, tantalum];33.0739;-53.3532;-180;Bottom;C1
215;;;56.9976;-45.5888;0;Bottom;Copper Fill67
216;;;34.3408;-7.1332;0;Bottom;Copper Fill148
217;;;43.2339;-15.8882;0;Bottom;Via144
218;;;43.5278;-15.5176;-90;Bottom;TXT1
219;;;62.7399;-17.522;0;Bottom;TXT1
220;;;39.5224;-45.7412;0;Bottom;Copper Fill74
221;;;50.8762;-28.1136;0;Bottom;Copper Fill118
222;;THT;22.9139;-48.2732;90;Bottom;1i
223;;;30.4073;-16.0896;-90;Bottom;TXT1
224;;THT;9.5789;-14.6182;90;Bottom;SC
225;;THT;25.4539;-5.72818;-90;Bottom;J1
226;8.2k;THT;65.4589;-19.6982;-90;Bottom;R24
227;12k;THT;47.0439;-30.4932;180;Bottom;R17
228;;THT;4.4989;-48.2732;-90;Bottom;1
229;;;50.8508;-52.396;0;Bottom;Copper Fill6
230;;;33.2486;-34.2096;0;Bottom;Copper Fill101
231;;;31.1688;-36.8433;0;Bottom;Via40
232;;;53.4259;-16.2982;-90;Bottom;TXT1
233;;;41.021;-48.8146;0;Bottom;Copper Fill63
234;;;62.563;-30.2807;0;Bottom;TXT1
235;;;38.8751;-1.14749;0;Bottom;TXT1
236;;;14.0208;-24.7862;0;Bottom;Copper Fill127
237;;;43.434;-44.3442;0;Bottom;Copper Fill78
238;4.7µF;100 mil [THT, tantalum];49.5839;-26.0482;180;Bottom;C8
239;;;38.2892;-16.194;-90;Bottom;TXT1
240;;;7.12116;-17.7327;-90;Bottom;TXT1
241;;;35.6071;-30.4975;0;Bottom;Via148
242;;;2.25198;-17.5264;-90;Bottom;TXT1
243;;1x04-1mm-ra;63.6749;-9.03818;-90;Top;I2C
244;;;21.717;-36.648;0;Bottom;Copper Fill29
245;;;50.9669;-16.4;-90;Bottom;TXT1
246;;;35.8209;-6.98623;-90;Bottom;TXT1
247;4.7µF;100 mil [THT, tantalum];38.7889;-53.3532;180;Bottom;C2
248;;;29.2477;-34.2982;0;Bottom;Via33
249;;THT;4.4989;-40.6532;-90;Bottom;3
250;;;4.9276;-18.6902;0;Bottom;Copper Fill132
251;;;18.8689;-5.37108;-90;Bottom;TXT1
252;;;45.6326;-7.19859;-90;Bottom;TXT1
253;;;50.292;-52.0658;0;Bottom;Copper Fill54
254;;;54.2544;-34.1334;0;Bottom;Copper Fill100
255;;;39.4238;-47.6383;0;Bottom;Via10
256;0;THT;14.0239;-28.5882;0;Bottom;R7
257;0;THT;14.0239;-32.3982;0;Bottom;R6
258;;;46.3042;-55.9012;0;Bottom;Copper Fill50
259;680;THT;55.9339;-1.28318;0;Bottom;R20
260;;;48.3962;-15.8318;-90;Bottom;TXT1
261;;;23.1342;-21.318;-90;Bottom;TXT1
262;;;24.8158;-57.5014;0;Bottom;Copper Fill1
263;;;62.6098;-20.0296;0;Bottom;TXT1
264;;THT;22.9139;-44.4632;90;Bottom;2i
265;;;62.0206;-25.1628;0;Bottom;TXT1
266;;;9.3726;-1.5706;0;Bottom;Copper Fill46
267;;;2.07277;-38.0454;-90;Bottom;TXT1
268;;;56.5688;-30.4933;0;Bottom;Via125
