*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=hexbotling_v0_3
*Date=16:50:04
*CreatedBy=Fritzing 0.9.4.2019-12-01.CD-498-0-a1ffcea
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
1;;;22.0332;-5.93677;-90;Bottom;TXT1
2;;;2.07277;-38.0454;-90;Bottom;TXT1
3;;;26.5203;-20.7553;0;Bottom;TXT2
4;;;62.4734;-15.2472;0;Bottom;TXT1
5;;;40.6146;-39.2133;0;Bottom;Copper Fill14
6;;;43.434;-44.3441;0;Bottom;Copper Fill71
7;;;29.4386;-35.8605;0;Bottom;Copper Fill97
8;;;32.6136;-7.69189;0;Bottom;Copper Fill32
9;;;65.0494;-31.5425;0;Bottom;Copper Fill107
10;;;49.1744;-29.3327;0;Bottom;Copper Fill106
11;;;40.7416;-13.1275;0;Bottom;Copper Fill135
12;;;4.68557;-4.34775;0;Bottom;TXT1
13;;;23.8506;-33.6507;0;Bottom;Copper Fill16
14;;THT;4.4989;-52.0832;-90;Bottom;0
15;;;22.7926;-17.4;0;Bottom;TXT2
16;;;62.0206;-25.1628;0;Bottom;TXT1
17;;;50.8508;-52.396;0;Bottom;Copper Fill5
18;;;19.7433;-15.2392;0;Bottom;Via140
19;;;23.0886;-50.1608;0;Bottom;Copper Fill8
20;;THT;4.4989;-24.1432;-90;Bottom;7
21;;THT;21.6439;-2.55318;-90;Bottom;pot
22;4.7µF;100 mil [THT, tantalum];38.7889;-23.5082;-180;Bottom;C6
23;;;14.0382;-21.601;0;Bottom;Via139
24;0;THT;14.0239;-47.6382;0;Bottom;R2
25;4.7µF;100 mil [THT, tantalum];50.8539;-53.3532;180;Bottom;C4
26;;;31.1688;-36.8433;0;Bottom;Via40
27;0;THT;14.0239;-24.7782;0;Bottom;R8
28;;;58.4747;-10.162;0;Bottom;Via135
29;;SO;34.2217;-43.8367;-90;Top;4378T-3
30;;;60.7822;-32.5585;0;Bottom;Copper Fill104
31;;;59.3598;-46.7826;0;Bottom;Copper Fill78
